job_name,job_type,company_name,job_location,job_date,num_of_people,experience_needed,career_level,education_level,gender,salary,job_categories,skills_and_tools,job_description,job_requirements,key_job
Junior Backend Engineer,['Full_Time'],Octane solutions,Cairo Egypt,Posted 1 month ago,366,1_To_2_Years,Entry_Level_(Junior_Level_/_Fresh_Grad),Not_Specified,male and female,Confidential,"['Accounting/Finance', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Agile', 'Automation', 'computer', 'Computer_Science', 'Engineering', 'Information_Technology_(IT)', 'quality', 'Science', 'Security', 'Software_Development', 'Back-End_Development', 'Node.js', 'CSS', 'Git', 'HTML5', 'JavaScript', 'Design']","['Integration of user-facing elements developed by front-end developers with server side logic', 'Writing reusable, testable, and efficient code', 'Design and implementation of low-latency, high-availability, and performant applications', 'Implementation of security and data protection', 'Integration of data storage solutions {{may include databases, key-value stores, blob stores, etc.}}']","['Strong proficiency with JavaScript {{or CoffeeScript depending on your technology stack}}', 'Knowledge of Node.js and frameworks available for it {{such as Express, StrongLoop, etc depending on your technology stack}}', 'Understanding the nature of asynchronous programming and its quirks and workarounds', 'Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}', 'Good understanding of server-side CSS preprocessors {{such as Stylus, Less, etc depending on your technology stack}}', 'Basic understanding of front-end technologies, such as HTML5, and CSS3', 'Understanding accessibility and security compliance {{Depending on the specific project}}', 'User authentication and authorization between multiple systems, servers, and environments', 'Integration of multiple data sources and databases into one system', 'Understanding fundamental design principles behind a scalable application', 'Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform', 'Creating database schemas that represent and support business processes', 'Implementing automated testing platforms and unit tests', 'Proficient understanding of code versioning tools, such as Git']",back end
Senior Backend Engineer,['Full_Time'],Octane solutions,Cairo Egypt,Posted 1 month ago,15,3_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['Accounting/Finance', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Agile', 'Automation', 'computer', 'Computer_Science', 'Engineering', 'Information_Technology_(IT)', 'quality', 'Science', 'Security', 'Software_Development', 'Back-End_Development', 'Node.js', 'CSS', 'Git', 'HTML5', 'JavaScript', 'Design']","['Integration of user-facing elements developed by front-end developers with server side logic', 'Writing reusable, testable, and efficient code', 'Design and implementation of low-latency, high-availability, and performant applications', 'Implementation of security and data protection', 'Integration of data storage solutions {{may include databases, key-value stores, blob stores, etc.}}']","['Strong proficiency with JavaScript {{or CoffeeScript depending on your technology stack}}', 'Knowledge of Node.js and frameworks available for it {{such as Express, StrongLoop, etc depending on your technology stack}}', 'Understanding the nature of asynchronous programming and its quirks and workarounds', 'Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}', 'Good understanding of server-side CSS preprocessors {{such as Stylus, Less, etc depending on your technology stack}}', 'Basic understanding of front-end technologies, such as HTML5, and CSS3', 'Understanding accessibility and security compliance {{Depending on the specific project}}', 'User authentication and authorization between multiple systems, servers, and environments', 'Integration of multiple data sources and databases into one system', 'Understanding fundamental design principles behind a scalable application', 'Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform', 'Creating database schemas that represent and support business processes', 'Implementing automated testing platforms and unit tests', 'Proficient understanding of code versioning tools, such as Git']",back end
Backend Engineer (PHP/Laravel) (remote),"['Full_Time', 'Work_From_Home']",Confidential,Dubai United Arab Emirates,Posted 1 month ago,128,More_Than_2_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,"Confidential,","['IT/Software Development', 'Engineering - Telecom/Technology']","['Laravel', 'back-end', 'PHP', 'Git', 'Computer_Science', 'Software_Development']","['Duties and responsibilities:', 'Write robust, clean, efficient, and well-documented code using best practices', 'Monitoring and maintaining the quality of the application so that the application remains stable and can be accessed by users smoothly.', 'Conduct research on the latest technology and implement it according to project needs.', 'Create, test, and maintain web-based applications using Laravel Framework.', 'Work with members of the team to design, develop, and implement software solutions.', 'Implement and manage the entire web application development lifecycle, from conception to delivery and post-launch maintenance.', 'Make use of back-end data services and support the growth of current data services API.', 'Effectively communicate all project updates, evaluations, suggestions, schedules, and technical and procedural difficulties.', 'Troubleshoot and debug software issues.', 'Continuously improve software quality and performance.', 'Keep up with the latest web development technologies and trends.', 'Willing to learn and solve new challenges']","['Mandatory Requirements:', 'Have at least 2 years of working experience as Full-stack, Back-end and/or Laravel Developer or similar role with a strong portfolio of Laravel-based projects', 'Computer Science, Software Engineering or equivalent', 'Strong knowledge of PHP, Laravel Framework, and MySQL', 'Knowledge of HTML, CSS, JavaScript, and jQuery front-end technologies', 'Experience with RESTful APIs, Git, and Agile development methodologies', 'Excellent problem-solving and analytical skills', 'A keen eye for detail and the flexibility to operate well under pressure', ""Bachelor's degree in computer science, software engineering or a related field"", 'Have a machine with good performance', 'Experience with API integration', 'Can work with minimal guidance', 'Good understanding in secure coding concepts', 'Considered as plus to have:', 'PHP testing frameworks (e.g. PHPUnit)', 'Familiar with front end Java Script frameworks (React JS)', 'Tailwind CSS, Websockets, Docker']",back end
Front-end developer (Vue.js),['Full_Time'],Gulf Terminal,Mansoura Dakahlia Egypt,Posted 22 hours ago,8,3_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer_Science', 'developer', 'Front', 'front-end', 'Front-End_Developer', 'Information_Technology_(IT)', 'JavaScript', 'Js', 'Software_Development', 'Vue', 'Vue.js']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['Proven work experience as a Front-end developer', 'Hands on experience with markup languages', 'Experience with JavaScript, CSS and jQuery', 'Familiarity with browser testing and debugging', 'In-depth understanding of the entire web development process (design, development and deployment)', 'Understanding of layout aesthetics', 'Knowledge of SEO principles', 'Familiarity with software like Adobe Suite, Photoshop and content management systems', 'An ability to perform well in a fast-paced environment', 'Excellent analytical and multitasking skills', 'BSc degree in Computer Science or relevant field']",unknown
"Front End Developer (React , Nextjs 14)","['Freelance_/_Project', 'Work_From_Home']",Confidential,Ain Shams Cairo Egypt,Posted 3 days ago,22,3_To_5_Years,"Senior_Management_(CEO,_GM,_Director,_Head)",Not_Specified,male and female,Confidential,['IT/Software Development'],"['front-end', 'Development', 'JavaScript', 'Web_Development', 'CSS', 'API', 'React', 'SEO']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['+ Implement performance improvements', '+ Design and maintain automated monitoring and reporting tools', '+ Discover new opportunities, research, debug and profile', '+ Provide technical guidance to engineering teams on following performance standards', '+ 5+ years of experience', '+ Excellent JavaScript knowledge', '+ Expert-level knowledge of SEO principles', '+ Expert-level knowledge of modern Front-end tools: TypeScript, React, Redux etc.', '+ Experience in building large-scale single-page applications', '+ Expert-level knowledge of functional programming, design patterns', '+ Up-to-date knowledge on Browser API’s, Progressive Web Apps', '+ Effective communication skills and the ability to work in a group of highly skilled developers and product owners']",unknown
UI Designer and Front-End Developer,['Part_Time'],Ejad,Dokki Giza Egypt,Posted 6 days ago,63,2_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['Business Development', 'Creative/Design/Art', 'IT/Software Development']","['Bootstrap', 'Design', 'front-end', 'JavaScript', 'UI/UX', 'front-end_web_development', 'Graphic_Web_Design', 'Website_Designing']","['We are looking for a talented and experienced UI Designer and Front-End Developer to join our team. The ideal candidate will have a strong understanding of user interface design and front-end development, with a passion for creating visually appealing and user-friendly web and mobile applications.', 'Responsibilities:', 'Collaborate with the design and development teams to create wireframes, mockups, and prototypes for web and mobile applications', 'Design and develop user interfaces for web and mobile applications using HTML, CSS, and JavaScript', 'Optimize applications for maximum speed and scalability', 'Ensure the technical feasibility of UI/UX designs', 'Stay up-to-date with the latest trends and best practices in UI/UX design and front-end development', 'Work closely with back-end developers to integrate user-facing elements with server-side logic', 'Troubleshoot and debug issues with front-end code', 'Conduct user research and usability testing to gather feedback and make improvements to the user interface']","['Proven work experience as a UI Designer and Front-End Developer', 'Strong proficiency in HTML, CSS, and JavaScript', 'Experience with responsive design and mobile-first development', 'Knowledge of front-end frameworks such as Bootstrap, Foundation, or Materialize', 'Familiarity with design tools such as Adobe XD, Sketch, or Figma', 'Understanding of cross-browser compatibility and accessibility standards', 'Excellent communication and collaboration skills', 'Ability to work in a fast-paced and dynamic environment', 'A strong portfolio showcasing UI/UX design and front-end development work', 'If you are a creative and detail-oriented professional with a passion for creating exceptional user experiences, we would love to hear from you. Join our team and help us build innovative and user-friendly applications.']",unknown
Senior Front End Developer,['Full_Time'],kafiil,Maadi Cairo Egypt,Posted 2 days ago,50,3_To_6_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['CSS3', 'CSS', 'Front_end', 'front-end', 'HTML5', 'Git', 'JavaScript', 'jQuery']","['Mid to Senior Front End Developer', 'We are currently seeking a talented and experienced Front End Developer to join our team. As a Front End Developer, you will be responsible for transforming UI/UX designs into high-quality, responsive front-end code using HTML, CSS, Bootstrap, and JavaScript. Your expertise in front-end development will play a crucial role in creating visually appealing and user-friendly web applications.', '###Responsibilities:', 'Collaborate with UI/UX designers and back-end developers to translate design concepts into functional and interactive web pages.', 'Write clean, efficient, modular, reusable, and maintainable code using HTML, CSS, Bootstrap, and JavaScript.', 'Implement responsive designs that are compatible across different browsers and devices.', 'Conduct thorough testing and debugging to ensure smooth functionality and identify and fix any issues or bugs.', 'Stay updated with the latest front-end technologies and best practices, and proactively propose improvements to enhance the development process.', 'Collaborate with cross-functional teams to ensure seamless integration of front-end components with back-end systems.', 'Join our dynamic team and contribute to the development of innovative web applications. We offer a competitive salary, professional growth opportunities, and a collaborative work environment. If you are passionate about front-end development and have the skills to create exceptional user experiences, we would love to hear from you.']","['Proven experience as a Front End Developer, with a strong portfolio showcasing your previous work.', 'Expert Knowledge of JavaScript, Ajax, JQuery, HTML5, CSS3, Bootstrap (is a Must).', 'Solid understanding of responsive web design principles and experience in creating mobile-friendly web applications.', 'Good Understanding of Cross-browser Compatibility issues.', 'Familiarity with modern CSS features (e.g SVG, CSS Grid, Flexbox).', 'Familiarity with modern web platform APIs (like Canvas, local storage, Geolocation, service workers, ...etc)', 'Familiarity with front-end frameworks and libraries (e.g., React, Vue.js) is a plus.', 'Ability to work independently as well as in a team-oriented environment.', 'Experience with version control systems (e.g., Git) and front-end build tools (e.g., Gulp, Webpack) is preferred.']",unknown
Senior Software Developer - Front-End,"['Part_Time', 'Freelance_/_Project', 'Work_From_Home']",Confidential,Heliopolis Cairo Egypt,Posted 3 days ago,16,6_To_8_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,15000,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Software_Developer', 'Microsoft.Net', '.Net', 'ASP', 'C#', 'SQL', 'Website_Development', 'HTML', 'CSS', 'HTML5', 'JavaScript', 'SEO', 'Windows_Server', 'Software_Development', 'IIS', 'XML', 'MySQL', 'jQuery', 'AJAX', 'javaScript', 'Development', 'Information_Technology_(IT)', 'Computer_Science', 'CMS', 'TFS', 'ASP.NET', 'Computer_Engineering', 'Engineering', 'Software_Engineering', 'Angular']","['You will contribute to the end-to-end implementation of our solutions of the next-generation software products of our platforms and applications.  Will design, develop, test, implement, and support application components for our innovative digital products that provide seamless experience to the end-user. Should have experience in developing the web frontends, middleware and integrate it with our  backend layers of the software products.']","['4 to 8 years’ experience in software development', 'Must have strong skills in Angular 2+ is a must, HTML5, CSS3 ,  JavaScript,  Full SDLC,  UX Design, SVG photos,  jQuery, Ajax, XML', 'Selecting best-case technologies, integrating to third-party systems', 'Exchange knowledge and work with project team members', 'Self-learning new technologies', 'Documentinon of delivered work', 'Providing technical support and troubleshooting for different systems and applications', 'Be organized, self-motivated and ambitious with a desire to develop cutting-edge front-end websites supported by technically challenging back-end solutions.z', 'Good Command of English Language']",unknown
Senior Angular Front-end developer,['Full_Time'],Edentech,Heliopolis Cairo Egypt,Posted 3 days ago,19,5_To_7_Years,Experienced_(Non-Manager),Not_Specified,male and female,0,['IT/Software Development'],"['Angular', 'Figma', 'JavaScript', 'CSS3', 'HTML5', 'Typescript', 'Node.js']","['Design, develop, and maintain high-quality, responsive web applications using Angular framework and best practices.', 'Collaborate closely with designers and back-end developers to translate designs (from Figma, PSD, ..) into functional and performant UIs.', 'Architect and implement reusable components and UI libraries for future use.', 'Optimize applications for performance, accessibility, and cross-browser compatibility.', 'Write clean, modular, and well-documented code.', 'Conduct unit and integration testing for front-end code', 'Stay up-to-date with the latest Angular trends, libraries, and tools', 'Participate in code reviews and provide constructive feedback.', 'Mentor and guide junior developers.', 'Contribute to a positive and collaborative team environment.']","['5+ years of experience as a Front-End Developer with a strong focus on Angular.', 'In-depth knowledge of Angular framework (including TypeScript, RxJS, and Angular Material).', 'Proven experience building complex, single-page applications (SPAs).', 'Expertise in HTML5, CSS3 (LESS/Sass preprocessors knowledge is nice to have), and JavaScript (including modern ES6+ features)', 'Experience with responsive design principles and mobile development', 'Familiarity with RESTful APIs and data binding techniques', 'Knowledgeable source control Git.', 'Strong understanding of web accessibility best practices', 'Excellent communication, collaboration, and problem-solving skills', 'Ability to work independently and as part of a team.', 'Passion for web development and a desire to learn and grow.', 'Bonus Points:', 'Experience with server-side rendering (SSR)', 'Experience with performance optimization techniques', 'Experience with DevOps practices and automation tools']",unknown
"Strategic Vendor Support (Project end date: 1 Nov 2024), Leisure, OHL",['Full_Time'],Amazon MENA,Cairo Egypt,Posted 7 days ago,0,Not_Specified,Not_Specified,Not_Specified,male and female,Confidential,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology']","['sales', 'information_technology_(it)', 'sales_skills', 'computer_science', 'management', 'operations', 'supply_chain', 'sql', 'business', 'account_management', 'quality', 'google_analytics']","['DESCRIPTION', 'SVS is a set of exclusive services aimed at building mutually beneficial growth through the delivery of targeted strategic improvements on the business inputs.', 'Key job responsibilities', 'SVS will support Vendor growth, focusing on:', '• Increasing the vendor selection', '• Improving the discoverability of the vendor products on Amazon', '• Improving the content of the vendor product detail pages Supporting the vendor at executing a deal strategy', '• Helping the vendor to secure availability of their products', '• Increasing the vendor traffic', '• Providing valuable insights into the vendor Amazon Business', '• Act as vendor account manager; managing the below:', '1- Education & knowledge about Amazon systems, tools, and processes', '2- Building up selection & catalog quality Optimizing supply chain & inventory operations', '3- Driving increased traffic/conversion Working Backwards', '4- Share targets on business metrics to measure the success of the business impact the program is having during the subscription period.', '5- Detailed monthly reports covering catalogue and traffic metrics to track their progress.', 'Vendors will have the option to be called-back by the Vendor Specialist if they have questions on the reports. Trainings and timely updates on internal changes, programs and tools relevant to grow their business on Amazon.']","[""Skills BASIC QUALIFICATIONS- Bachelor's degree- 2 years of account management, project or program management or buying experience- Experience using analytical specific tools such as Google analytics or SQL or HTMLPREFERRED QUALIFICATIONS- Experience in process improvement- Experience in managing large amounts of data""]",unknown
Front End Developer,['Full_Time'],Al Medadsoft,Nasr City Cairo Egypt,Posted 20 days ago,365,2_To_6_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['front-end', 'Development', 'Information_Technology_(IT)', 'Web_Development', 'Computer_Science', 'Software_Development', 'Program_Development']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['Proven work experience as a Front-end developer', 'Hands on experience with markup languages', 'Experience with JavaScript, CSS and jQuery', 'Familiarity with browser testing and debugging', 'In-depth understanding of the entire web development process (design, development and deployment)', 'Understanding of layout aesthetics', 'Knowledge of SEO principles', 'Familiarity with software like Adobe Suite, Photoshop and content management systems', 'An ability to perform well in a fast-paced environment', 'Excellent analytical and multitasking skills', 'BSc degree in Computer Science or relevant field']",unknown
Senior Full Stack Developer (Asp.net Core– Angular),['Full_Time'],qTech.,Mansoura Dakahlia Egypt,Posted 1 month ago,49,More_Than_4_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Angular', 'ASP.NET', 'JSON', 'jQuery', 'HTML5', 'CSS3', 'AJAX', 'javaScript', 'Web_Applications', 'Bootstrap', 'OOP', 'MVC', 'C#.Net', 'Back_End', 'Front_End', 'Full_Stack', 'Git', 'Database_Design', 'Information_Technology_(IT)', 'Software_Engineering', 'Computer_Science', 'Microsoft_SQL_Server', 'Software_Development', 'C#', '.NET', 'SQL', 'CSS', 'ASP', 'API', 'Troubleshooting']","['We are looking for an ASP.NET Core and angular developer to be responsible for designing applications. The responsibilities of ASP.NET include writing code, designing solutions for applications, and improving functionality.', 'You should demonstrate excellent problem-solving skills, high-quality coding skills, and the ability to manage your time efficiently with a keen eye for detail and work independently.']","['Proven experience as a .NET Developer 1-3', 'Excellent experience in asp.net core / RESET Api', 'Excellent experience in entity frame work core', 'Excellent experience in SQL servers', 'Excellent experience in angular', 'Extensive working knowledge of coding using C# .NET and HTML5/CSS3', 'Upgrading, configuring, and debugging existing WinForms applications', 'Good troubleshooting skills', 'JWT Authentication mechanism', 'Real time app (WebSocket – signal R)', 'DevExpress Applications', 'Git version control']",unknown
Sennior Python Django Backend Developer,['Full_Time'],Your Parts,Maadi Cairo Egypt,Posted 1 month ago,54,4_To_6_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Python', 'Django', 'RESTful', 'FastAPI', 'Information_Technology_(IT)', 'Computer_Science', 'javaScript', 'HTML5', 'SQL', 'Programming', 'AWS', 'Front-End', 'Debugging', 'Back-End_Development', 'Software_Development']","['We are looking for an experienced Python, Django Back-End Developer who is motivated to join the team developing YOURPARTS Products. He will be responsible for developing High-Quality enterprise applications and platforms.', 'The chosen candidate will be assigned the below', 'Main Responsibilities:', 'Writing reusable, testable, and efficient code', 'Design and implementation of low-latency, high-availability, and performance', 'efficient applications', 'Integration of user-facing elements developed by front-end developers with server side logic', 'Implementation of security and data protection', 'Integration of data storage solutions']","['Expert in Python, with knowledge of Django Web Framework', 'Working knowledge of SQL languages and ORMs', 'Very strong understanding of building RESTful APIs', 'Bonus points for FastAPI framework experience(for microservices),', 'Worked with Django application deployment on AWS, Heroku, GCP', 'platforms.', 'Basic understanding of front-end technologies, such as JavaScript, HTML5,', 'and CSS3', 'Understanding of accessibility and security compliance', 'Knowledge of user authentication and authorization between multiple', 'systems, servers, and environments', 'Familiarity with event-driven programming in Python', 'Able to create database schemas that represent and support business', 'processes', 'Strong unit test and debugging skills']",back end
Front End Developer,['Full_Time'],FiveM,Cairo Egypt,Posted 24 days ago,577,1_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['JavaScript', 'Front_end', 'Front_end_developer']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['Proven work experience as a Front-end developer', 'Hands on experience with markup languages', 'Experience with JavaScript, CSS and jQuery', 'Familiarity with browser testing and debugging', 'In-depth understanding of the entire web development process (design, development and deployment)', 'Understanding of layout aesthetics', 'Knowledge of SEO principles', 'Familiarity with software like Adobe Suite, Photoshop and content management systems', 'An ability to perform well in a fast-paced environment', 'Excellent analytical and multitasking skills', 'BSc degree in Computer Science or relevant field']",unknown
Mid Senior Front End Developer,['Full_Time'],Qeema,Maadi Cairo Egypt,Posted 20 days ago,154,3_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Angular', 'Computer_Science', 'UI/UX', 'CSS', 'Frontend', 'JavaScript', 'HTML', 'Programming', 'Software_Development', 'Information_Technology_(IT)']","[""We are looking for a talented and experienced Mid-Senior Frontend Developer to join our growing team. You will be responsible for developing and maintaining our web applications' user interface and user experience using Angular CLI. You will work closely with back-end developers and designers to ensure a seamless and consistent user experience."", 'Responsibilities:', 'Develop and maintain reusable UI components using Angular CLI best practices', 'Write clean, maintainable, and well-documented code', 'Implement responsive design principles to ensure applications look good and function well on all devices', 'Collaborate with designers to ensure UI/UX consistency across all applications', 'Participate in code reviews and provide constructive feedback', 'Stay up-to-date with the latest Angular and web development technologies', 'Proactively identify and address potential issues', 'Work independently and as part of a team']","['Minimum 3 years of experience as a Frontend Developer using Angular CLI', 'Strong understanding of HTML, CSS, and JavaScript', 'Solid understanding of object-oriented programming principles', 'Experience with web accessibility best practices is a plus', 'Experience with UI/UX principles is a plus', 'Excellent communication and collaboration skills', 'Ability to work independently and manage multiple priorities', 'Strong problem-solving skills', 'Passion for learning and staying up-to-date with the latest technologies']",unknown
SENIOR FRONT END DEVELOPER,['Full_Time'],Commercial International Group,Cairo Egypt,Posted 26 days ago,60,Not_Specified,Not_Specified,Not_Specified,male and female,Confidential,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information_Technology_(IT)', 'Computer_Science', 'javaScript', 'Software_Development', 'CSS', 'HTML', 'HTML5', 'CSS3', 'Angular', 'Software_Engineering', 'Web_Development', 'jQuery', 'Engineering', 'Front_End', 'Front-End', 'Computer_Engineering', 'Git', 'UI', 'React', 'SASS']","['Job Description - SENIOR FRONT END DEVELOPER (230002AQ)', 'Job Description', 'SENIOR FRONT END DEVELOPER - ( 230002AQ )', 'Description', '- Write enterprise-class reusable, testable, and efficient JavaScript, code', '- Write scalable presentation-server code with associated server API tests', '- Provide production support that includes evaluate efforts, investigate cause of and produces solutions to address defects', '- Deliver best-in-class HTML5/CSS3 front-end code', '- Adhere to and extrapolate complex design systems and apply to coded pages, screens, and states', '- Develop and automate tests across multiple Web and Mobile platforms', '- Participate in discussions with user teams and agile team members about technical best practices and help teams identify optimal technical solutions', '- Design API specification jointly with back-end engineers to ensure reusability of the developed products', '- Understand Agile methodology and instill best practices into the process', 'Qualifications', 'Qualifications & Experience', '§ Bachelor’s degree in Computer Science or its equivalent.', '§ 3-5 years of relevant experience as a front-end developer for digital products (preferably banking) with the following knowledge;', '§ Experience using advanced JavaScript libraries and frameworks such as Angular, React, Flutter and building web components with any of these frameworks.', '§ Strong understanding of SDLC, Agile, Design patterns and UX/UI design principles.', '§ Experience with CI/CD - familiarity with GitOps.', '§ Experience with version control systems like Git.', '§ Experience with unit & e2e testing frameworks (e.g., mocha, jasmine, web driverio and cypress).', 'Skills:', '§ Strong communication skills with ability to communicate complex technical concepts and align organization on decisions.', '§ Sound problem-solving skills with the ability to quickly process complex information and present it clearly and simply.', '§ Team collaboration skills to create innovative solutions efficiently.', '§ Strong understanding of techniques to release fast and often, fail safe etc.', 'Understanding of extreme programming practices.', 'Primary Location', ': Egypt-Giza-SMART VILLAGE BLDG. 1', 'Work Locations', ': B219 - Financial District, Smart Village, Cairo - Alex Desert Road', 'Job', ': Back Office', 'Organization', ': COO', 'Shift', ': Day Job Job Type : Full-time Employee', 'Refer a friend for this job', 'Tell us about a friend who might be interested in this job. All privacy rights will be protected.']",none,unknown
Front End Developer,['Full_Time'],Nugget Tours,Downtown Cairo Egypt,Posted 1 month ago,420,2_To_7_Years,Experienced_(Non-Manager),Bachelor'S_Degree,Male,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Bootstrap', 'API', 'Computer_Science', 'CSS3', 'HTML5', 'Information_Technology_(IT)', 'JavaScript', 'jQuery', 'RESTful', 'Software_Development', 'AJAX', 'React', 'React_js', 'React.js', 'Design', 'Program_Development', 'Front-End_Development', 'Django']","['Work with the project team with Back-End Developers.', 'Designing, Developing, and Testing UI.', 'Build reusable code and libraries for future use.', 'Accurately translate user and business needs into functional frontend code.', 'Provide website maintenance and enhancements.']","[""Bachelor's degree or Equivalent in Computer Science."", ""2+ years' Experience at Least in Frontend Development."", 'Expert Knowledge of JavaScript, Ajax, JQuery, HTML5, CSS3, Bootstrap (is a Must).', 'Good knowledge of ReactJS, and VueJS.', 'Familiar With Restful API.', 'Familiar With Django.', 'Familiar With Responsive Design Concepts.', 'Good Understanding of Cross-browser Compatibility issues.']",unknown
Senior Front End Developer,['Full_Time'],SURE International Technology,Nasr City Cairo Egypt,Posted 1 month ago,118,3_To_7_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Angular', 'front-end_web_development', 'Front-End_Development', 'frontend']","['Use markup languages like HTML to create user-friendly web pages', 'Maintain and improve website', 'Optimize applications for maximum speed', 'Design mobile-based features', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['Understand SDLC HTML &  JavaScript', 'Understand CSS structure TFS Source Control (Git & TFVC) Good understanding of Typescript language', 'Good understanding of Angular+ Structure and components life Cycle Able to Integrate with external Systems (RESTful APIs)', 'Handle APIs authentication from Angular', '3+ years of experience in previous skills']",unknown
Front End Developer - English Speaking - Remote,['Full_Time'],Sequel Solutions,Cairo Egypt,Posted 1 month ago,66,3_To_10_Years,Experienced_(Non-Manager),Not_Specified,male and female,8000,['IT/Software Development'],"['Design', 'Adobe_Suite', 'Computer_Science', 'English', 'Figma', 'Information_Technology_(IT)', 'JavaScript', 'Software_Development', 'Web']","['Use markup languages like HTML CSS & ReactJS for front end web development.', 'Maintain and improve website portfolio.', 'Optimize applications for maximum speed', 'Collaborate with back-end developers and web designers to improve usability', 'Get feedback from, and build solutions for, users and customers', 'Write functional requirement documents and guides', 'Create quality mockups and prototypes', 'Help back-end developers with coding and troubleshooting', 'Ensure high quality graphic standards and brand consistency', 'Stay up-to-date on emerging technologies']","['Must have experience in design, figma or adobe suite.', 'Must know how to story board before starting development', 'Must have good English, can write web copy.']",unknown
